pal1,pal2,palres
Suzaku Aqua,Direhowl,Elphidran
Suzaku Aqua,Beegarde,Surfent Terra
Suzaku Aqua,Cawgnito,Surfent Terra
Suzaku Aqua,Gobfin,Surfent
Suzaku Aqua,Gobfin Ignis,Surfent
Suzaku Aqua,Lunaris,Anubis
Suzaku Aqua,Leezpunk,Anubis
Suzaku Aqua,Rushoar,Incineram Noct
Suzaku Aqua,Leezpunk Ignis,Incineram Noct
Suzaku Aqua,Maraith,Incineram
Suzaku Aqua,Rooby,Incineram
Suzaku Aqua,Wixen,Incineram
Suzaku Aqua,Nox,Incineram
Suzaku Aqua,Woolipop,Vanwyrm Cryst
Suzaku Aqua,Dazzi,Vanwyrm Cryst
Suzaku Aqua,Fuddler,Vanwyrm Cryst
Suzaku Aqua,Daedream,Vanwyrm Cryst
Suzaku Aqua,Gumoss (Special),Bushi
Suzaku Aqua,Gumoss,Bushi
Suzaku Aqua,Tanzee,Bushi
Suzaku Aqua,Kelpsea,Bushi
Suzaku Aqua,Kelpsea Ignis,Bushi
Suzaku Aqua,Flopie,Vanwyrm
Suzaku Aqua,Killamari,Vanwyrm
Suzaku Aqua,Swee,Vanwyrm
Suzaku Aqua,Ribunny,Blazehowl Noct
Suzaku Aqua,Bristla,Blazehowl Noct
Suzaku Aqua,Fuack,Univolt
Suzaku Aqua,Tocotoco,Univolt
Suzaku Aqua,Pengullet,Univolt
Suzaku Aqua,Jolthog Cryst,Katress
Suzaku Aqua,Jolthog,Katress
Suzaku Aqua,Depresso,Katress
Suzaku Aqua,Hoocrates,Blazehowl
Suzaku Aqua,Foxparks,Blazehowl
Suzaku Aqua,Flambelle,Blazehowl
Suzaku Aqua,Sparkit,Blazehowl
Suzaku Aqua,Hangyu,Blazehowl
Suzaku Aqua,Hangyu Cryst,Rayhound
Suzaku Aqua,Lifmunk,Rayhound
Suzaku Aqua,Mau Cryst,Rayhound
Suzaku Aqua,Vixy,Rayhound
Suzaku Aqua,Cremis,Rayhound
Suzaku Aqua,Cattiva,Rayhound
Suzaku Aqua,Lamball,Tombat
Suzaku Aqua,Mau,Tombat
Suzaku Aqua,Teafant,Foxcicle
Suzaku Aqua,Chikipi,Foxcicle
Suzaku,Blazamut,Suzaku Aqua
Suzaku,Suzaku Aqua,Suzaku Aqua
Suzaku,Suzaku,Suzaku
Suzaku,Shadowbeak,Suzaku
Suzaku,Necromus,Shadowbeak
Suzaku,Paladius,Shadowbeak
Suzaku,Jetragon,Necromus
Suzaku,Frostallion Noct,Necromus
Suzaku,Frostallion,Paladius
Suzaku,Cryolinx,Jetragon
Suzaku,Orserk,Jetragon
Suzaku,Astegon,Frostallion Noct
Suzaku,Helzephyr,Frostallion
Suzaku,Grizzbolt,Frostallion
Suzaku,Lyleen Noct,Cryolinx
Suzaku,Beakon,Cryolinx
Suzaku,Reptyro Cryst,Orserk
Suzaku,Pyrin Noct,Orserk
Suzaku,Lyleen,Astegon
Suzaku,Menasting,Astegon
Suzaku,Relaxaurus Lux,Astegon
Suzaku,Relaxaurus,Astegon
Suzaku,Mammorest Cryst,Astegon
Suzaku,Mammorest,Helzephyr
Suzaku,Jormuntide,Helzephyr
Suzaku,Jormuntide Ignis,Helzephyr
Suzaku,Reptyro,Helzephyr
Suzaku,Elizabee,Helzephyr
Suzaku,Warsect,Helzephyr
Suzaku,Quivern,Grizzbolt
Suzaku,Pyrin,Grizzbolt
Suzaku,Faleris,Lyleen Noct
Suzaku,Ragnahawk,Lyleen Noct
Suzaku,Mossanda Lux,Beakon
Suzaku,Sweepa,Reptyro Cryst
Suzaku,Nitewing,Reptyro Cryst
Suzaku,Mossanda,Pyrin Noct
Suzaku,Ice Kingpaca,Pyrin Noct
Suzaku,Sibelyx,Lyleen
Suzaku,Wumpo,Lyleen
Suzaku,Kingpaca,Menasting
Suzaku,Wumpo Botan,Menasting
Suzaku,Cinnamoth,Relaxaurus Lux
Suzaku,Azurobe,Relaxaurus Lux
Suzaku,Grintale,Relaxaurus
Suzaku,Penking,Relaxaurus
Suzaku,Elphidran Aqua,Mammorest Cryst
Suzaku,Elphidran,Mammorest Cryst
Suzaku,Surfent Terra,Mammorest
Suzaku,Surfent,Mammorest
Suzaku,Anubis,Jormuntide
Suzaku,Incineram Noct,Jormuntide Ignis
Suzaku,Incineram,Reptyro
Suzaku,Vanwyrm Cryst,Elizabee
Suzaku,Bushi,Warsect
Suzaku,Vanwyrm,Quivern
Suzaku,Blazehowl Noct,Pyrin
Suzaku,Univolt,Pyrin
Suzaku,Katress,Faleris
Suzaku,Blazehowl,Ragnahawk
Suzaku,Rayhound,Mossanda Lux
Suzaku,Tombat,Mossanda Lux
Suzaku,Foxcicle,Sweepa
Suzaku,Petallia,Sweepa
Suzaku,Arsox,Nitewing
Suzaku,Chillet,Nitewing
Suzaku,Dinossom Lux,Mossanda
Suzaku,Dinossom,Mossanda
Suzaku,Kitsun,Ice Kingpaca
Suzaku,Broncherry Aqua,Ice Kingpaca
Suzaku,Digtoise,Sibelyx
Suzaku,Broncherry,Sibelyx
Suzaku,Celaray,Wumpo
Suzaku,Reindrix,Wumpo
Suzaku,Melpaca,Kingpaca
Suzaku,Dumud,Kingpaca
Suzaku,Eikthyrdeer Terra,Kingpaca
Suzaku,Mozzarina,Wumpo Botan
Suzaku,Eikthyrdeer,Wumpo Botan
Suzaku,Caprity,Cinnamoth
Suzaku,Lovander,Cinnamoth
Suzaku,Loupmoon,Azurobe
Suzaku,Fenglope,Grintale
Suzaku,Verdash,Penking
Suzaku,Robinquill Terra,Penking
Suzaku,Felbat,Elphidran Aqua
Suzaku,Robinquill,Elphidran Aqua
Suzaku,Galeclaw,Elphidran
Suzaku,Gorirat,Elphidran
Suzaku,Vaelet,Surfent Terra
Suzaku,Direhowl,Surfent Terra
Suzaku,Beegarde,Surfent
Suzaku,Cawgnito,Surfent
Suzaku,Gobfin,Anubis
Suzaku,Gobfin Ignis,Anubis
Suzaku,Lunaris,Incineram Noct
Suzaku,Leezpunk,Incineram Noct
Suzaku,Rushoar,Incineram
Suzaku,Leezpunk Ignis,Incineram
Suzaku,Maraith,Incineram
Suzaku,Rooby,Incineram
Suzaku,Wixen,Incineram
Suzaku,Nox,Vanwyrm Cryst
Suzaku,Woolipop,Vanwyrm Cryst
Suzaku,Dazzi,Vanwyrm Cryst
Suzaku,Fuddler,Bushi
Suzaku,Daedream,Bushi
Suzaku,Gumoss (Special),Bushi
Suzaku,Gumoss,Bushi
Suzaku,Tanzee,Bushi
Suzaku,Kelpsea,Vanwyrm
Suzaku,Kelpsea Ignis,Vanwyrm
Suzaku,Flopie,Vanwyrm
Suzaku,Killamari,Blazehowl Noct
Suzaku,Swee,Blazehowl Noct
Suzaku,Ribunny,Univolt
Suzaku,Bristla,Univolt
Suzaku,Fuack,Univolt
Suzaku,Tocotoco,Katress
Suzaku,Pengullet,Katress
Suzaku,Jolthog Cryst,Katress
Suzaku,Jolthog,Blazehowl
Suzaku,Depresso,Blazehowl
Suzaku,Hoocrates,Blazehowl
Suzaku,Foxparks,Blazehowl
Suzaku,Flambelle,Rayhound
Suzaku,Sparkit,Rayhound
Suzaku,Hangyu,Rayhound
Suzaku,Hangyu Cryst,Rayhound
Suzaku,Lifmunk,Rayhound
Suzaku,Mau Cryst,Rayhound
Suzaku,Vixy,Tombat
Suzaku,Cremis,Tombat
Suzaku,Cattiva,Tombat
Suzaku,Lamball,Foxcicle
Suzaku,Mau,Foxcicle
Suzaku,Teafant,Foxcicle
Suzaku,Chikipi,Petallia
Shadowbeak,Blazamut,Suzaku Aqua
Shadowbeak,Suzaku Aqua,Suzaku
Shadowbeak,Suzaku,Suzaku
Shadowbeak,Shadowbeak,Shadowbeak
Shadowbeak,Necromus,Shadowbeak
Shadowbeak,Paladius,Necromus
Shadowbeak,Jetragon,Necromus
Shadowbeak,Frostallion Noct,Paladius
Shadowbeak,Frostallion,Jetragon
Shadowbeak,Cryolinx,Jetragon
Shadowbeak,Orserk,Frostallion Noct
Shadowbeak,Astegon,Frostallion Noct
Shadowbeak,Helzephyr,Frostallion
Shadowbeak,Grizzbolt,Cryolinx
Shadowbeak,Lyleen Noct,Cryolinx
Shadowbeak,Beakon,Orserk
Shadowbeak,Reptyro Cryst,Orserk
Shadowbeak,Pyrin Noct,Astegon
Shadowbeak,Lyleen,Astegon
Shadowbeak,Menasting,Astegon
Shadowbeak,Relaxaurus Lux,Astegon
Shadowbeak,Relaxaurus,Astegon
Shadowbeak,Mammorest Cryst,Helzephyr
Shadowbeak,Mammorest,Helzephyr
Shadowbeak,Jormuntide,Helzephyr
Shadowbeak,Jormuntide Ignis,Helzephyr
Shadowbeak,Reptyro,Helzephyr
Shadowbeak,Elizabee,Helzephyr
Shadowbeak,Warsect,Grizzbolt
Shadowbeak,Quivern,Grizzbolt
Shadowbeak,Pyrin,Lyleen Noct
Shadowbeak,Faleris,Lyleen Noct
Shadowbeak,Ragnahawk,Beakon
Shadowbeak,Mossanda Lux,Beakon
Shadowbeak,Sweepa,Reptyro Cryst
Shadowbeak,Nitewing,Pyrin Noct
Shadowbeak,Mossanda,Pyrin Noct
Shadowbeak,Ice Kingpaca,Lyleen
Shadowbeak,Sibelyx,Lyleen
Shadowbeak,Wumpo,Menasting
Shadowbeak,Kingpaca,Menasting
Shadowbeak,Wumpo Botan,Relaxaurus Lux
Shadowbeak,Cinnamoth,Relaxaurus Lux
Shadowbeak,Azurobe,Relaxaurus
Shadowbeak,Grintale,Relaxaurus
Shadowbeak,Penking,Mammorest Cryst
Shadowbeak,Elphidran Aqua,Mammorest Cryst
Shadowbeak,Elphidran,Mammorest
Shadowbeak,Surfent Terra,Mammorest
Shadowbeak,Surfent,Jormuntide
Shadowbeak,Anubis,Jormuntide Ignis
Shadowbeak,Incineram Noct,Reptyro
Shadowbeak,Incineram,Reptyro
Shadowbeak,Vanwyrm Cryst,Warsect
Shadowbeak,Bushi,Quivern
Shadowbeak,Vanwyrm,Pyrin
Shadowbeak,Blazehowl Noct,Pyrin
Shadowbeak,Univolt,Faleris
Shadowbeak,Katress,Ragnahawk
Shadowbeak,Blazehowl,Ragnahawk
Shadowbeak,Rayhound,Mossanda Lux
Shadowbeak,Tombat,Sweepa
Shadowbeak,Foxcicle,Sweepa
Shadowbeak,Petallia,Nitewing
Shadowbeak,Arsox,Nitewing
Shadowbeak,Chillet,Mossanda
Shadowbeak,Dinossom Lux,Mossanda
Shadowbeak,Dinossom,Ice Kingpaca
Shadowbeak,Kitsun,Ice Kingpaca
Shadowbeak,Broncherry Aqua,Sibelyx
Shadowbeak,Digtoise,Sibelyx
Shadowbeak,Broncherry,Wumpo
Shadowbeak,Celaray,Wumpo
Shadowbeak,Reindrix,Kingpaca
Shadowbeak,Melpaca,Kingpaca
Shadowbeak,Dumud,Wumpo Botan
Shadowbeak,Eikthyrdeer Terra,Wumpo Botan
Shadowbeak,Mozzarina,Wumpo Botan
Shadowbeak,Eikthyrdeer,Cinnamoth
Shadowbeak,Caprity,Cinnamoth
Shadowbeak,Lovander,Azurobe
Shadowbeak,Loupmoon,Azurobe
Shadowbeak,Fenglope,Penking
Shadowbeak,Verdash,Penking
Shadowbeak,Robinquill Terra,Elphidran Aqua
Shadowbeak,Felbat,Elphidran Aqua
Shadowbeak,Robinquill,Elphidran
Shadowbeak,Galeclaw,Elphidran
Shadowbeak,Gorirat,Surfent Terra
Shadowbeak,Vaelet,Surfent Terra
Shadowbeak,Direhowl,Surfent
Shadowbeak,Beegarde,Surfent
Shadowbeak,Cawgnito,Anubis
Shadowbeak,Gobfin,Anubis
Shadowbeak,Gobfin Ignis,Incineram Noct
Shadowbeak,Lunaris,Incineram Noct
Shadowbeak,Leezpunk,Incineram
Shadowbeak,Rushoar,Incineram
Shadowbeak,Leezpunk Ignis,Incineram
Shadowbeak,Maraith,Incineram
Shadowbeak,Rooby,Vanwyrm Cryst
Shadowbeak,Wixen,Vanwyrm Cryst
Shadowbeak,Nox,Vanwyrm Cryst
Shadowbeak,Woolipop,Vanwyrm Cryst
Shadowbeak,Dazzi,Bushi
Shadowbeak,Fuddler,Bushi
Shadowbeak,Daedream,Bushi
Shadowbeak,Gumoss (Special),Bushi
Shadowbeak,Gumoss,Bushi
Shadowbeak,Tanzee,Vanwyrm
Shadowbeak,Kelpsea,Vanwyrm
Shadowbeak,Kelpsea Ignis,Vanwyrm
Shadowbeak,Flopie,Blazehowl Noct
Shadowbeak,Killamari,Blazehowl Noct
Shadowbeak,Swee,Univolt
Shadowbeak,Ribunny,Univolt
Shadowbeak,Bristla,Univolt
Shadowbeak,Fuack,Katress
Shadowbeak,Tocotoco,Katress
Shadowbeak,Pengullet,Katress
Shadowbeak,Jolthog Cryst,Blazehowl
Shadowbeak,Jolthog,Blazehowl
Shadowbeak,Depresso,Blazehowl
Shadowbeak,Hoocrates,Blazehowl
Shadowbeak,Foxparks,Rayhound
Shadowbeak,Flambelle,Rayhound
Shadowbeak,Sparkit,Rayhound
Shadowbeak,Hangyu,Rayhound
Shadowbeak,Hangyu Cryst,Rayhound
Shadowbeak,Lifmunk,Rayhound
Shadowbeak,Mau Cryst,Tombat
Shadowbeak,Vixy,Tombat
Shadowbeak,Cremis,Foxcicle
Shadowbeak,Cattiva,Foxcicle
Shadowbeak,Lamball,Foxcicle
Shadowbeak,Mau,Foxcicle
Shadowbeak,Teafant,Petallia
Shadowbeak,Chikipi,Petallia
Necromus,Blazamut,Suzaku Aqua
Necromus,Suzaku Aqua,Suzaku
Necromus,Suzaku,Shadowbeak
Necromus,Shadowbeak,Shadowbeak
Necromus,Necromus,Necromus
Necromus,Paladius,Necromus
Necromus,Jetragon,Paladius
Necromus,Frostallion Noct,Paladius
Necromus,Frostallion,Jetragon
Necromus,Cryolinx,Frostallion Noct
Necromus,Orserk,Frostallion Noct
Necromus,Astegon,Frostallion Noct
Necromus,Helzephyr,Cryolinx
Necromus,Grizzbolt,Cryolinx
Necromus,Lyleen Noct,Orserk
Necromus,Beakon,Orserk
Necromus,Reptyro Cryst,Astegon
Necromus,Pyrin Noct,Astegon
Necromus,Lyleen,Astegon
Necromus,Menasting,Astegon
Necromus,Relaxaurus Lux,Astegon
Necromus,Relaxaurus,Helzephyr
Necromus,Mammorest Cryst,Helzephyr
Necromus,Mammorest,Helzephyr
Necromus,Jormuntide,Helzephyr
Necromus,Jormuntide Ignis,Helzephyr
Necromus,Reptyro,Helzephyr
Necromus,Elizabee,Grizzbolt
Necromus,Warsect,Grizzbolt
Necromus,Quivern,Lyleen Noct
Necromus,Pyrin,Lyleen Noct
Necromus,Faleris,Beakon
Necromus,Ragnahawk,Beakon
Necromus,Mossanda Lux,Reptyro Cryst
Necromus,Sweepa,Pyrin Noct
Necromus,Nitewing,Pyrin Noct
Necromus,Mossanda,Lyleen
Necromus,Ice Kingpaca,Lyleen
Necromus,Sibelyx,Menasting
Necromus,Wumpo,Menasting
Necromus,Kingpaca,Relaxaurus Lux
Necromus,Wumpo Botan,Relaxaurus Lux
Necromus,Cinnamoth,Relaxaurus
Necromus,Azurobe,Relaxaurus
Necromus,Grintale,Mammorest Cryst
Necromus,Penking,Mammorest Cryst
Necromus,Elphidran Aqua,Mammorest
Necromus,Elphidran,Mammorest
Necromus,Surfent Terra,Jormuntide
Necromus,Surfent,Jormuntide Ignis
Necromus,Anubis,Reptyro
Necromus,Incineram Noct,Reptyro
Necromus,Incineram,Elizabee
Necromus,Vanwyrm Cryst,Warsect
Necromus,Bushi,Quivern
Necromus,Vanwyrm,Pyrin
Necromus,Blazehowl Noct,Faleris
Necromus,Univolt,Faleris
Necromus,Katress,Ragnahawk
Necromus,Blazehowl,Mossanda Lux
Necromus,Rayhound,Sweepa
Necromus,Tombat,Sweepa
Necromus,Foxcicle,Sweepa
Necromus,Petallia,Nitewing
Necromus,Arsox,Mossanda
Necromus,Chillet,Mossanda
Necromus,Dinossom Lux,Ice Kingpaca
Necromus,Dinossom,Ice Kingpaca
Necromus,Kitsun,Sibelyx
Necromus,Broncherry Aqua,Sibelyx
Necromus,Digtoise,Wumpo
Necromus,Broncherry,Wumpo
Necromus,Celaray,Kingpaca
Necromus,Reindrix,Kingpaca
Necromus,Melpaca,Wumpo Botan
Necromus,Dumud,Wumpo Botan
Necromus,Eikthyrdeer Terra,Wumpo Botan
Necromus,Mozzarina,Cinnamoth
Necromus,Eikthyrdeer,Cinnamoth
Necromus,Caprity,Azurobe
Necromus,Lovander,Azurobe
Necromus,Loupmoon,Grintale
Necromus,Fenglope,Penking
Necromus,Verdash,Elphidran Aqua
Necromus,Robinquill Terra,Elphidran Aqua
Necromus,Felbat,Elphidran
Necromus,Robinquill,Elphidran
Necromus,Galeclaw,Surfent Terra
Necromus,Gorirat,Surfent Terra
Necromus,Vaelet,Surfent
Necromus,Direhowl,Surfent
Necromus,Beegarde,Anubis
Necromus,Cawgnito,Anubis
Necromus,Gobfin,Incineram Noct
Necromus,Gobfin Ignis,Incineram Noct
Necromus,Lunaris,Incineram
Necromus,Leezpunk,Incineram
Necromus,Rushoar,Incineram
Necromus,Leezpunk Ignis,Incineram
Necromus,Maraith,Vanwyrm Cryst
Necromus,Rooby,Vanwyrm Cryst
Necromus,Wixen,Vanwyrm Cryst
Necromus,Nox,Vanwyrm Cryst
Necromus,Woolipop,Vanwyrm Cryst
Necromus,Dazzi,Bushi
Necromus,Fuddler,Bushi
Necromus,Daedream,Bushi
Necromus,Gumoss (Special),Vanwyrm
Necromus,Gumoss,Vanwyrm
Necromus,Tanzee,Vanwyrm
Necromus,Kelpsea,Vanwyrm
Necromus,Kelpsea Ignis,Blazehowl Noct
Necromus,Flopie,Blazehowl Noct
Necromus,Killamari,Univolt
Necromus,Swee,Univolt
Necromus,Ribunny,Univolt
Necromus,Bristla,Katress
Necromus,Fuack,Katress
Necromus,Tocotoco,Katress
Necromus,Pengullet,Blazehowl
Necromus,Jolthog Cryst,Blazehowl
Necromus,Jolthog,Blazehowl
Necromus,Depresso,Blazehowl
Necromus,Hoocrates,Rayhound
Necromus,Foxparks,Rayhound
Necromus,Flambelle,Rayhound
Necromus,Sparkit,Rayhound
Necromus,Hangyu,Rayhound
