pal1,pal2,palres
Chikipi,Incineram,Vaelet
Chikipi,Incineram Noct,Gorirat
Chikipi,Anubis,Gorirat
Chikipi,Surfent,Galeclaw
Chikipi,Surfent Terra,Galeclaw
Chikipi,Elphidran,Robinquill
Chikipi,Elphidran Aqua,Robinquill
Chikipi,Penking,Felbat
Chikipi,Grintale,Felbat
Chikipi,Azurobe,Robinquill Terra
Chikipi,Cinnamoth,Robinquill Terra
Chikipi,Wumpo Botan,Verdash
Chikipi,Kingpaca,Verdash
Chikipi,Wumpo,Fenglope
Chikipi,Sibelyx,Fenglope
Chikipi,Ice Kingpaca,Fenglope
Chikipi,Mossanda,Fenglope
Chikipi,Nitewing,Loupmoon
Chikipi,Sweepa,Loupmoon
Chikipi,Mossanda Lux,Loupmoon
Chikipi,Ragnahawk,Lovander
Chikipi,Faleris,Lovander
Chikipi,Pyrin,Caprity
Chikipi,Quivern,Caprity
Chikipi,Warsect,Eikthyrdeer
Chikipi,Elizabee,Eikthyrdeer
Chikipi,Reptyro,Mozzarina
Chikipi,Jormuntide Ignis,Mozzarina
Chikipi,Jormuntide,Mozzarina
Chikipi,Mammorest,Eikthyrdeer Terra
Chikipi,Mammorest Cryst,Dumud
Chikipi,Relaxaurus,Melpaca
Chikipi,Relaxaurus Lux,Melpaca
Chikipi,Menasting,Reindrix
Chikipi,Lyleen,Reindrix
Chikipi,Pyrin Noct,Celaray
Chikipi,Reptyro Cryst,Celaray
Chikipi,Beakon,Broncherry
Chikipi,Lyleen Noct,Broncherry
Chikipi,Grizzbolt,Digtoise
Chikipi,Helzephyr,Digtoise
Chikipi,Astegon,Kitsun
Chikipi,Orserk,Dinossom
Chikipi,Cryolinx,Dinossom
Chikipi,Frostallion,Dinossom Lux
Chikipi,Frostallion Noct,Chillet
Chikipi,Jetragon,Chillet
Chikipi,Paladius,Arsox
Chikipi,Necromus,Arsox
Chikipi,Shadowbeak,Petallia
Chikipi,Suzaku,Petallia
Chikipi,Suzaku Aqua,Foxcicle
Chikipi,Blazamut,Foxcicle
Teafant,Chikipi,Chikipi
Teafant,Teafant,Teafant
Teafant,Mau,Teafant
Teafant,Lamball,Mau
Teafant,Cattiva,Mau
Teafant,Cremis,Lamball
Teafant,Vixy,Lamball
Teafant,Mau Cryst,Lamball
Teafant,Lifmunk,Cattiva
Teafant,Hangyu Cryst,Cremis
Teafant,Hangyu,Cremis
Teafant,Sparkit,Vixy
Teafant,Flambelle,Vixy
Teafant,Foxparks,Vixy
Teafant,Hoocrates,Mau Cryst
Teafant,Depresso,Mau Cryst
Teafant,Jolthog,Lifmunk
Teafant,Jolthog Cryst,Hangyu Cryst
Teafant,Pengullet,Hangyu
Teafant,Tocotoco,Hangyu
Teafant,Fuack,Sparkit
Teafant,Bristla,Flambelle
Teafant,Ribunny,Foxparks
Teafant,Swee,Foxparks
Teafant,Killamari,Hoocrates
Teafant,Flopie,Hoocrates
Teafant,Kelpsea Ignis,Depresso
Teafant,Kelpsea,Depresso
Teafant,Tanzee,Jolthog
Teafant,Gumoss (Special),Jolthog
Teafant,Gumoss,Jolthog
Teafant,Daedream,Jolthog Cryst
Teafant,Fuddler,Jolthog Cryst
Teafant,Dazzi,Pengullet
Teafant,Woolipop,Tocotoco
Teafant,Nox,Tocotoco
Teafant,Wixen,Fuack
Teafant,Rooby,Bristla
Teafant,Maraith,Bristla
Teafant,Leezpunk Ignis,Bristla
Teafant,Rushoar,Ribunny
Teafant,Leezpunk,Ribunny
Teafant,Lunaris,Swee
Teafant,Gobfin Ignis,Swee
Teafant,Gobfin,Killamari
Teafant,Cawgnito,Killamari
Teafant,Beegarde,Flopie
Teafant,Direhowl,Flopie
Teafant,Vaelet,Kelpsea Ignis
Teafant,Gorirat,Kelpsea Ignis
Teafant,Galeclaw,Kelpsea
Teafant,Robinquill,Kelpsea
Teafant,Felbat,Tanzee
Teafant,Robinquill Terra,Tanzee
Teafant,Verdash,Gumoss (Special)
Teafant,Fenglope,Gumoss (Special)
Teafant,Loupmoon,Fuddler
Teafant,Lovander,Fuddler
Teafant,Caprity,Dazzi
Teafant,Eikthyrdeer,Dazzi
Teafant,Mozzarina,Dazzi
Teafant,Eikthyrdeer Terra,Woolipop
Teafant,Dumud,Woolipop
Teafant,Melpaca,Woolipop
Teafant,Reindrix,Woolipop
Teafant,Celaray,Nox
Teafant,Broncherry,Nox
Teafant,Digtoise,Nox
Teafant,Broncherry Aqua,Wixen
Teafant,Kitsun,Wixen
Teafant,Dinossom,Rooby
Teafant,Dinossom Lux,Maraith
Teafant,Chillet,Maraith
Teafant,Arsox,Leezpunk Ignis
Teafant,Petallia,Leezpunk Ignis
Teafant,Foxcicle,Rushoar
Teafant,Tombat,Leezpunk
Teafant,Rayhound,Leezpunk
Teafant,Blazehowl,Gobfin Ignis
Teafant,Katress,Gobfin Ignis
Teafant,Univolt,Gobfin
Teafant,Blazehowl Noct,Cawgnito
Teafant,Vanwyrm,Cawgnito
Teafant,Bushi,Beegarde
Teafant,Vanwyrm Cryst,Direhowl
Teafant,Incineram,Gorirat
Teafant,Incineram Noct,Gorirat
Teafant,Anubis,Galeclaw
Teafant,Surfent,Galeclaw
Teafant,Surfent Terra,Robinquill
Teafant,Elphidran,Robinquill
Teafant,Elphidran Aqua,Felbat
Teafant,Penking,Felbat
Teafant,Grintale,Robinquill Terra
Teafant,Azurobe,Robinquill Terra
Teafant,Cinnamoth,Verdash
Teafant,Wumpo Botan,Verdash
Teafant,Kingpaca,Fenglope
Teafant,Wumpo,Fenglope
Teafant,Sibelyx,Fenglope
Teafant,Ice Kingpaca,Fenglope
Teafant,Mossanda,Loupmoon
Teafant,Nitewing,Loupmoon
Teafant,Sweepa,Loupmoon
Teafant,Mossanda Lux,Lovander
Teafant,Ragnahawk,Lovander
Teafant,Faleris,Caprity
Teafant,Pyrin,Caprity
Teafant,Quivern,Eikthyrdeer
Teafant,Warsect,Eikthyrdeer
Teafant,Elizabee,Mozzarina
Teafant,Reptyro,Mozzarina
Teafant,Jormuntide Ignis,Eikthyrdeer Terra
Teafant,Jormuntide,Eikthyrdeer Terra
Teafant,Mammorest,Dumud
Teafant,Mammorest Cryst,Melpaca
Teafant,Relaxaurus,Melpaca
Teafant,Relaxaurus Lux,Reindrix
Teafant,Menasting,Reindrix
Teafant,Lyleen,Celaray
Teafant,Pyrin Noct,Celaray
Teafant,Reptyro Cryst,Broncherry
Teafant,Beakon,Broncherry
Teafant,Lyleen Noct,Digtoise
Teafant,Grizzbolt,Digtoise
Teafant,Helzephyr,Broncherry Aqua
Teafant,Astegon,Dinossom
Teafant,Orserk,Dinossom
Teafant,Cryolinx,Dinossom Lux
Teafant,Frostallion,Dinossom Lux
Teafant,Frostallion Noct,Chillet
Teafant,Jetragon,Arsox
Teafant,Paladius,Arsox
Teafant,Necromus,Petallia
Teafant,Shadowbeak,Petallia
Teafant,Suzaku,Petallia
Teafant,Suzaku Aqua,Foxcicle
Teafant,Blazamut,Tombat
Mau,Chikipi,Teafant
Mau,Teafant,Teafant
Mau,Mau,Mau
Mau,Lamball,Mau
Mau,Cattiva,Lamball
Mau,Cremis,Lamball
Mau,Vixy,Lamball
Mau,Mau Cryst,Cattiva
Mau,Lifmunk,Cremis
Mau,Hangyu Cryst,Vixy
Mau,Hangyu,Vixy
Mau,Sparkit,Vixy
Mau,Flambelle,Mau Cryst
Mau,Foxparks,Mau Cryst
Mau,Hoocrates,Mau Cryst
Mau,Depresso,Lifmunk
Mau,Jolthog,Hangyu Cryst
Mau,Jolthog Cryst,Hangyu
Mau,Pengullet,Hangyu
Mau,Tocotoco,Sparkit
Mau,Fuack,Flambelle
Mau,Bristla,Foxparks
Mau,Ribunny,Foxparks
Mau,Swee,Hoocrates
Mau,Killamari,Hoocrates
Mau,Flopie,Depresso
Mau,Kelpsea Ignis,Depresso
Mau,Kelpsea,Jolthog
Mau,Tanzee,Jolthog
Mau,Gumoss (Special),Jolthog Cryst
Mau,Gumoss,Jolthog Cryst
Mau,Daedream,Jolthog Cryst
Mau,Fuddler,Pengullet
Mau,Dazzi,Pengullet
Mau,Woolipop,Tocotoco
Mau,Nox,Fuack
Mau,Wixen,Bristla
Mau,Rooby,Bristla
Mau,Maraith,Bristla
Mau,Leezpunk Ignis,Ribunny
Mau,Rushoar,Ribunny
Mau,Leezpunk,Swee
Mau,Lunaris,Swee
Mau,Gobfin Ignis,Killamari
Mau,Gobfin,Killamari
Mau,Cawgnito,Flopie
Mau,Beegarde,Flopie
Mau,Direhowl,Kelpsea Ignis
Mau,Vaelet,Kelpsea Ignis
Mau,Gorirat,Kelpsea
Mau,Galeclaw,Kelpsea
Mau,Robinquill,Tanzee
Mau,Felbat,Tanzee
Mau,Robinquill Terra,Gumoss (Special)
Mau,Verdash,Gumoss (Special)
Mau,Fenglope,Daedream
Mau,Loupmoon,Fuddler
Mau,Lovander,Dazzi
Mau,Caprity,Dazzi
Mau,Eikthyrdeer,Dazzi
Mau,Mozzarina,Woolipop
Mau,Eikthyrdeer Terra,Woolipop
Mau,Dumud,Woolipop
Mau,Melpaca,Woolipop
Mau,Reindrix,Nox
Mau,Celaray,Nox
Mau,Broncherry,Nox
Mau,Digtoise,Wixen
Mau,Broncherry Aqua,Wixen
Mau,Kitsun,Rooby
Mau,Dinossom,Maraith
Mau,Dinossom Lux,Maraith
Mau,Chillet,Leezpunk Ignis
Mau,Arsox,Leezpunk Ignis
Mau,Petallia,Rushoar
Mau,Foxcicle,Leezpunk
Mau,Tombat,Leezpunk
Mau,Rayhound,Lunaris
Mau,Blazehowl,Gobfin Ignis
Mau,Katress,Gobfin
Mau,Univolt,Cawgnito
Mau,Blazehowl Noct,Cawgnito
Mau,Vanwyrm,Beegarde
Mau,Bushi,Direhowl
Mau,Vanwyrm Cryst,Vaelet
Mau,Incineram,Gorirat
Mau,Incineram Noct,Galeclaw
Mau,Anubis,Galeclaw
Mau,Surfent,Robinquill
Mau,Surfent Terra,Robinquill
Mau,Elphidran,Felbat
Mau,Elphidran Aqua,Felbat
Mau,Penking,Robinquill Terra
Mau,Grintale,Robinquill Terra
Mau,Azurobe,Verdash
Mau,Cinnamoth,Verdash
Mau,Wumpo Botan,Fenglope
Mau,Kingpaca,Fenglope
Mau,Wumpo,Fenglope
Mau,Sibelyx,Fenglope
Mau,Ice Kingpaca,Loupmoon
Mau,Mossanda,Loupmoon
Mau,Nitewing,Loupmoon
Mau,Sweepa,Loupmoon
Mau,Mossanda Lux,Lovander
Mau,Ragnahawk,Caprity
Mau,Faleris,Caprity
Mau,Pyrin,Eikthyrdeer
Mau,Quivern,Eikthyrdeer
Mau,Warsect,Mozzarina
Mau,Elizabee,Mozzarina
Mau,Reptyro,Eikthyrdeer Terra
Mau,Jormuntide Ignis,Eikthyrdeer Terra
Mau,Jormuntide,Dumud
Mau,Mammorest,Melpaca
Mau,Mammorest Cryst,Melpaca
Mau,Relaxaurus,Reindrix
Mau,Relaxaurus Lux,Reindrix
Mau,Menasting,Celaray
Mau,Lyleen,Celaray
Mau,Pyrin Noct,Broncherry
Mau,Reptyro Cryst,Broncherry
Mau,Beakon,Digtoise
Mau,Lyleen Noct,Digtoise
Mau,Grizzbolt,Broncherry Aqua
Mau,Helzephyr,Broncherry Aqua
Mau,Astegon,Dinossom
Mau,Orserk,Dinossom Lux
Mau,Cryolinx,Dinossom Lux
Mau,Frostallion,Chillet
Mau,Frostallion Noct,Arsox
Mau,Jetragon,Arsox
Mau,Paladius,Petallia
Mau,Necromus,Petallia
Mau,Shadowbeak,Petallia
Mau,Suzaku,Foxcicle
Mau,Suzaku Aqua,Foxcicle
Mau,Blazamut,Tombat
Lamball,Chikipi,Teafant
Lamball,Teafant,Mau
Lamball,Mau,Mau
Lamball,Lamball,Lamball
Lamball,Cattiva,Lamball
Lamball,Cremis,Cattiva
Lamball,Vixy,Cattiva
Lamball,Mau Cryst,Cremis
Lamball,Lifmunk,Vixy
Lamball,Hangyu Cryst,Vixy
Lamball,Hangyu,Vixy
Lamball,Sparkit,Mau Cryst
Lamball,Flambelle,Mau Cryst
Lamball,Foxparks,Mau Cryst
Lamball,Hoocrates,Lifmunk
Lamball,Depresso,Hangyu Cryst
Lamball,Jolthog,Hangyu
Lamball,Jolthog Cryst,Hangyu
Lamball,Pengullet,Sparkit
Lamball,Tocotoco,Flambelle
Lamball,Fuack,Foxparks
Lamball,Bristla,Foxparks
Lamball,Ribunny,Hoocrates
Lamball,Swee,Hoocrates
Lamball,Killamari,Depresso
Lamball,Flopie,Depresso
Lamball,Kelpsea Ignis,Jolthog
Lamball,Kelpsea,Jolthog
Lamball,Tanzee,Jolthog Cryst
Lamball,Gumoss (Special),Jolthog Cryst
Lamball,Gumoss,Jolthog Cryst
Lamball,Daedream,Pengullet
Lamball,Fuddler,Pengullet
Lamball,Dazzi,Tocotoco
Lamball,Woolipop,Fuack
Lamball,Nox,Fuack
Lamball,Wixen,Bristla
Lamball,Rooby,Ribunny
Lamball,Maraith,Ribunny
Lamball,Leezpunk Ignis,Ribunny
Lamball,Rushoar,Swee
Lamball,Leezpunk,Swee
Lamball,Lunaris,Killamari
Lamball,Gobfin Ignis,Killamari
Lamball,Gobfin,Flopie
Lamball,Cawgnito,Flopie
Lamball,Beegarde,Kelpsea Ignis
Lamball,Direhowl,Kelpsea Ignis
Lamball,Vaelet,Kelpsea
Lamball,Gorirat,Kelpsea
Lamball,Galeclaw,Tanzee
Lamball,Robinquill,Tanzee
Lamball,Felbat,Gumoss (Special)
Lamball,Robinquill Terra,Gumoss (Special)
Lamball,Verdash,Daedream
Lamball,Fenglope,Daedream
Lamball,Loupmoon,Dazzi
Lamball,Lovander,Dazzi
Lamball,Caprity,Dazzi
Lamball,Eikthyrdeer,Woolipop
Lamball,Mozzarina,Woolipop
Lamball,Eikthyrdeer Terra,Woolipop
Lamball,Dumud,Nox
Lamball,Melpaca,Nox
Lamball,Reindrix,Nox
Lamball,Celaray,Nox
Lamball,Broncherry,Wixen
Lamball,Digtoise,Wixen
Lamball,Broncherry Aqua,Rooby
Lamball,Kitsun,Maraith
Lamball,Dinossom,Maraith
Lamball,Dinossom Lux,Leezpunk Ignis
Lamball,Chillet,Leezpunk Ignis
Lamball,Arsox,Rushoar
Lamball,Petallia,Rushoar
Lamball,Foxcicle,Leezpunk
Lamball,Tombat,Lunaris
Lamball,Rayhound,Lunaris
Lamball,Blazehowl,Gobfin
Lamball,Katress,Gobfin
Lamball,Univolt,Cawgnito
Lamball,Blazehowl Noct,Beegarde
Lamball,Vanwyrm,Beegarde
Lamball,Bushi,Direhowl
Lamball,Vanwyrm Cryst,Vaelet
Lamball,Incineram,Galeclaw
Lamball,Incineram Noct,Galeclaw
Lamball,Anubis,Robinquill
Lamball,Surfent,Robinquill
Lamball,Surfent Terra,Felbat
Lamball,Elphidran,Felbat
Lamball,Elphidran Aqua,Robinquill Terra
Lamball,Penking,Robinquill Terra
Lamball,Grintale,Verdash
Lamball,Azurobe,Verdash
Lamball,Cinnamoth,Fenglope
Lamball,Wumpo Botan,Fenglope
Lamball,Kingpaca,Fenglope
Lamball,Wumpo,Fenglope
Lamball,Sibelyx,Loupmoon
Lamball,Ice Kingpaca,Loupmoon
Lamball,Mossanda,Loupmoon
Lamball,Nitewing,Loupmoon
Lamball,Sweepa,Lovander
Lamball,Mossanda Lux,Caprity
Lamball,Ragnahawk,Caprity
Lamball,Faleris,Eikthyrdeer
Lamball,Pyrin,Eikthyrdeer
Lamball,Quivern,Mozzarina
Lamball,Warsect,Mozzarina
Lamball,Elizabee,Eikthyrdeer Terra
Lamball,Reptyro,Dumud
Lamball,Jormuntide Ignis,Dumud
Lamball,Jormuntide,Melpaca
Lamball,Mammorest,Melpaca
Lamball,Mammorest Cryst,Reindrix
Lamball,Relaxaurus,Reindrix
Lamball,Relaxaurus Lux,Celaray
Lamball,Menasting,Celaray
Lamball,Lyleen,Broncherry
Lamball,Pyrin Noct,Broncherry
Lamball,Reptyro Cryst,Digtoise
Lamball,Beakon,Digtoise
Lamball,Lyleen Noct,Broncherry Aqua
Lamball,Grizzbolt,Broncherry Aqua
Lamball,Helzephyr,Kitsun
Lamball,Astegon,Dinossom Lux
Lamball,Orserk,Dinossom Lux
Lamball,Cryolinx,Chillet
Lamball,Frostallion,Chillet
Lamball,Frostallion Noct,Arsox
Lamball,Jetragon,Petallia
Lamball,Paladius,Petallia
Lamball,Necromus,Petallia
Lamball,Shadowbeak,Foxcicle
Lamball,Suzaku,Foxcicle
Lamball,Suzaku Aqua,Tombat
Lamball,Blazamut,Rayhound
Cattiva,Chikipi,Mau
Cattiva,Teafant,Mau
Cattiva,Mau,Lamball
Cattiva,Lamball,Lamball
Cattiva,Cattiva,Cattiva
Cattiva,Cremis,Cattiva
Cattiva,Vixy,Cremis
Cattiva,Mau Cryst,Vixy
Cattiva,Lifmunk,Vixy
Cattiva,Hangyu Cryst,Mau Cryst
Cattiva,Hangyu,Mau Cryst
Cattiva,Sparkit,Mau Cryst
Cattiva,Flambelle,Lifmunk
Cattiva,Foxparks,Lifmunk
Cattiva,Hoocrates,Hangyu Cryst
Cattiva,Depresso,Hangyu
Cattiva,Jolthog,Hangyu
Cattiva,Jolthog Cryst,Sparkit
Cattiva,Pengullet,Flambelle
Cattiva,Tocotoco,Foxparks
Cattiva,Fuack,Foxparks
Cattiva,Bristla,Hoocrates
Cattiva,Ribunny,Hoocrates
Cattiva,Swee,Depresso
Cattiva,Killamari,Depresso
Cattiva,Flopie,Jolthog
Cattiva,Kelpsea Ignis,Jolthog
Cattiva,Kelpsea,Jolthog Cryst
Cattiva,Tanzee,Jolthog Cryst
Cattiva,Gumoss (Special),Pengullet
Cattiva,Gumoss,Pengullet
Cattiva,Daedream,Pengullet
Cattiva,Fuddler,Tocotoco
Cattiva,Dazzi,Tocotoco
Cattiva,Woolipop,Fuack
Cattiva,Nox,Bristla
Cattiva,Wixen,Ribunny
Cattiva,Rooby,Ribunny
Cattiva,Maraith,Ribunny
Cattiva,Leezpunk Ignis,Swee
Cattiva,Rushoar,Swee
Cattiva,Leezpunk,Killamari
Cattiva,Lunaris,Killamari
Cattiva,Gobfin Ignis,Flopie
Cattiva,Gobfin,Flopie
Cattiva,Cawgnito,Kelpsea Ignis
Cattiva,Beegarde,Kelpsea Ignis
Cattiva,Direhowl,Kelpsea
Cattiva,Vaelet,Kelpsea
Cattiva,Gorirat,Tanzee
Cattiva,Galeclaw,Tanzee
Cattiva,Robinquill,Gumoss (Special)
Cattiva,Felbat,Gumoss (Special)
Cattiva,Robinquill Terra,Daedream
Cattiva,Verdash,Daedream
Cattiva,Fenglope,Fuddler
Cattiva,Loupmoon,Dazzi
Cattiva,Lovander,Dazzi
Cattiva,Caprity,Woolipop
Cattiva,Eikthyrdeer,Woolipop
Cattiva,Mozzarina,Woolipop
Cattiva,Eikthyrdeer Terra,Nox
Cattiva,Dumud,Nox
Cattiva,Melpaca,Nox
Cattiva,Reindrix,Nox
Cattiva,Celaray,Wixen
Cattiva,Broncherry,Wixen
Cattiva,Digtoise,Rooby
Cattiva,Broncherry Aqua,Maraith
Cattiva,Kitsun,Maraith
Cattiva,Dinossom,Leezpunk Ignis
Cattiva,Dinossom Lux,Leezpunk Ignis
Cattiva,Chillet,Rushoar
Cattiva,Arsox,Rushoar
Cattiva,Petallia,Leezpunk
Cattiva,Foxcicle,Lunaris
Cattiva,Tombat,Lunaris
Cattiva,Rayhound,Gobfin Ignis
Cattiva,Blazehowl,Gobfin
Cattiva,Katress,Cawgnito
Cattiva,Univolt,Beegarde
Cattiva,Blazehowl Noct,Beegarde
Cattiva,Vanwyrm,Direhowl
Cattiva,Bushi,Vaelet
Cattiva,Vanwyrm Cryst,Gorirat
Cattiva,Incineram,Galeclaw
Cattiva,Incineram Noct,Robinquill
Cattiva,Anubis,Robinquill
Cattiva,Surfent,Felbat
Cattiva,Surfent Terra,Felbat
Cattiva,Elphidran,Robinquill Terra
Cattiva,Elphidran Aqua,Robinquill Terra
Cattiva,Penking,Verdash
Cattiva,Grintale,Verdash
Cattiva,Azurobe,Fenglope
Cattiva,Cinnamoth,Fenglope
Cattiva,Wumpo Botan,Fenglope
Cattiva,Kingpaca,Fenglope
Cattiva,Wumpo,Loupmoon
Cattiva,Sibelyx,Loupmoon
Cattiva,Ice Kingpaca,Loupmoon
Cattiva,Mossanda,Loupmoon
Cattiva,Nitewing,Lovander
Cattiva,Sweepa,Lovander
Cattiva,Mossanda Lux,Caprity
Cattiva,Ragnahawk,Eikthyrdeer
Cattiva,Faleris,Eikthyrdeer
Cattiva,Pyrin,Mozzarina
Cattiva,Quivern,Mozzarina
Cattiva,Warsect,Eikthyrdeer Terra
Cattiva,Elizabee,Dumud
Cattiva,Reptyro,Melpaca
Cattiva,Jormuntide Ignis,Melpaca
Cattiva,Jormuntide,Melpaca
Cattiva,Mammorest,Reindrix
Cattiva,Mammorest Cryst,Reindrix
Cattiva,Relaxaurus,Celaray
Cattiva,Relaxaurus Lux,Celaray
Cattiva,Menasting,Broncherry
Cattiva,Lyleen,Broncherry
Cattiva,Pyrin Noct,Digtoise
Cattiva,Reptyro Cryst,Digtoise
Cattiva,Beakon,Broncherry Aqua
Cattiva,Lyleen Noct,Broncherry Aqua
Cattiva,Grizzbolt,Kitsun
Cattiva,Helzephyr,Kitsun
Cattiva,Astegon,Dinossom Lux
Cattiva,Orserk,Chillet
Cattiva,Cryolinx,Chillet
Cattiva,Frostallion,Arsox
Cattiva,Frostallion Noct,Petallia
Cattiva,Jetragon,Petallia
Cattiva,Paladius,Petallia
Cattiva,Necromus,Foxcicle
Cattiva,Shadowbeak,Foxcicle
Cattiva,Suzaku,Foxcicle
Cattiva,Suzaku Aqua,Tombat
Cattiva,Blazamut,Rayhound
Cremis,Chikipi,Mau
Cremis,Teafant,Lamball
Cremis,Mau,Lamball
Cremis,Lamball,Cattiva
Cremis,Cattiva,Cattiva
Cremis,Cremis,Cremis
Cremis,Vixy,Cremis
Cremis,Mau Cryst,Vixy
Cremis,Lifmunk,Mau Cryst
Cremis,Hangyu Cryst,Mau Cryst
Cremis,Hangyu,Mau Cryst
Cremis,Sparkit,Lifmunk
Cremis,Flambelle,Lifmunk
Cremis,Foxparks,Lifmunk
Cremis,Hoocrates,Hangyu Cryst
Cremis,Depresso,Hangyu
Cremis,Jolthog,Sparkit
Cremis,Jolthog Cryst,Sparkit
Cremis,Pengullet,Flambelle
Cremis,Tocotoco,Foxparks
Cremis,Fuack,Hoocrates
Cremis,Bristla,Hoocrates
Cremis,Ribunny,Depresso
Cremis,Swee,Depresso
Cremis,Killamari,Jolthog
Cremis,Flopie,Jolthog
Cremis,Kelpsea Ignis,Jolthog Cryst
Cremis,Kelpsea,Jolthog Cryst
Cremis,Tanzee,Pengullet
Cremis,Gumoss (Special),Pengullet
Cremis,Gumoss,Pengullet
Cremis,Daedream,Tocotoco
Cremis,Fuddler,Tocotoco
Cremis,Dazzi,Fuack
Cremis,Woolipop,Bristla
Cremis,Nox,Bristla
Cremis,Wixen,Ribunny
Cremis,Rooby,Ribunny
Cremis,Maraith,Swee
Cremis,Leezpunk Ignis,Swee
Cremis,Rushoar,Killamari
Cremis,Leezpunk,Killamari
Cremis,Lunaris,Flopie
Cremis,Gobfin Ignis,Flopie
Cremis,Gobfin,Kelpsea Ignis
Cremis,Cawgnito,Kelpsea Ignis
Cremis,Beegarde,Kelpsea
Cremis,Direhowl,Kelpsea
Cremis,Vaelet,Tanzee
Cremis,Gorirat,Tanzee
Cremis,Galeclaw,Gumoss (Special)
Cremis,Robinquill,Gumoss (Special)
Cremis,Felbat,Daedream
Cremis,Robinquill Terra,Daedream
Cremis,Verdash,Fuddler
Cremis,Fenglope,Fuddler
Cremis,Loupmoon,Dazzi
Cremis,Lovander,Woolipop
Cremis,Caprity,Woolipop
Cremis,Eikthyrdeer,Woolipop
Cremis,Mozzarina,Nox
Cremis,Eikthyrdeer Terra,Nox
Cremis,Dumud,Nox
Cremis,Melpaca,Nox
Cremis,Reindrix,Wixen
Cremis,Celaray,Wixen
Cremis,Broncherry,Wixen
Cremis,Digtoise,Rooby
Cremis,Broncherry Aqua,Maraith
Cremis,Kitsun,Leezpunk Ignis
Cremis,Dinossom,Leezpunk Ignis
Cremis,Dinossom Lux,Rushoar
Cremis,Chillet,Rushoar
Cremis,Arsox,Leezpunk
Cremis,Petallia,Leezpunk
Cremis,Foxcicle,Lunaris
Cremis,Tombat,Gobfin Ignis
Cremis,Rayhound,Gobfin Ignis
Cremis,Blazehowl,Cawgnito
Cremis,Katress,Cawgnito
Cremis,Univolt,Beegarde
